,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
430,"frozenset({'call_depth_median_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.033333333,0.325,0.025,0.75,2.307692308,0.014166667,2.7,,
514,"frozenset({'global_nesting_depth_max_neg', 'call_depth_max'})",frozenset({'KLEE_data'}),0.033333333,0.325,0.025,0.75,2.307692308,0.014166667,2.7,,
1724,"frozenset({'global_nesting_depth_max_neg', 'call_depth_median', 'call_depth_max'})",frozenset({'KLEE_data'}),0.033333333,0.325,0.025,0.75,2.307692308,0.014166667,2.7,,
3702,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
2195,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
3780,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
872,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
3675,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
2348,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
4458,"frozenset({'trace_length_max_neg', 'call_depth_max_neg', 'global_nesting_depth_median_neg', 'call_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
2336,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.05,0.325,0.033333333,0.666666667,2.051282051,0.017083333,2.025,,
2322,"frozenset({'call_depth_median_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.058333333,0.636363636,1.958041958,0.028541667,1.85625,,
3645,"frozenset({'call_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.058333333,0.636363636,1.958041958,0.028541667,1.85625,,
866,"frozenset({'call_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.058333333,0.636363636,1.958041958,0.028541667,1.85625,,
761,"frozenset({'call_depth_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.058333333,0.636363636,1.958041958,0.028541667,1.85625,,
2139,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.058333333,0.636363636,1.958041958,0.028541667,1.85625,,
2181,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.058333333,0.636363636,1.958041958,0.028541667,1.85625,,
2308,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.15,0.325,0.091666667,0.611111111,1.88034188,0.042916667,1.735714286,,
3615,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.15,0.325,0.091666667,0.611111111,1.88034188,0.042916667,1.735714286,,
2125,"frozenset({'global_nesting_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.15,0.325,0.091666667,0.611111111,1.88034188,0.042916667,1.735714286,,
