,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
4635,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
4388,"frozenset({'global_nesting_depth_median', 'call_depth_max_neg', 'global_nesting_depth_max_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
4512,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'global_nesting_depth_max_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
78,frozenset({'global_nesting_depth_max_neg'}),frozenset({'AFL_data'}),0.558333333,0.525,0.316666667,0.567164179,1.080312722,0.023541667,1.097413793,,
1487,"frozenset({'trace_length_max_neg', 'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.9,0.525,0.491666667,0.546296296,1.040564374,0.019166667,1.046938776,,
1500,"frozenset({'trace_length_max_neg', 'call_depth_median_neg', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.9,0.525,0.491666667,0.546296296,1.040564374,0.019166667,1.046938776,,
4573,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'call_depth_max_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.9,0.525,0.491666667,0.546296296,1.040564374,0.019166667,1.046938776,,
1641,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.9,0.525,0.491666667,0.546296296,1.040564374,0.019166667,1.046938776,,
3139,"frozenset({'trace_length_max_neg', 'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.9,0.525,0.491666667,0.546296296,1.040564374,0.019166667,1.046938776,,
1753,"frozenset({'trace_length_max_neg', 'call_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.9,0.525,0.491666667,0.546296296,1.040564374,0.019166667,1.046938776,,
