,,trace_length_max,global_nesting_depth_max,call_depth_max,trace_length_mean,global_nesting_depth_mean,call_depth_mean,trace_length_median,global_nesting_depth_median,call_depth_median,AFL_data,KLEE_data
PTX,4,551,2,3,282.8,0.014814815,2.966666667,283,0,3,1,0
SEQ,1,439,4,2,317.8947368,2.473684211,1.789473684,382,3,2,1,0
SEQ,2,326,4,2,253.962963,2.37037037,1.888888889,295,2,2,0,0
SEQ,3,438,4,2,351.1785714,2.357142857,1.857142857,405.5,2,2,0,0
SEQ,4,489,4,2,375.1428571,1.964285714,1.857142857,461.5,2,2,1,0
STAT,1,1640,4,5,842.8051282,2,3.317948718,791,2,3,1,1
STAT,2,824,3,5,438.4090909,1.954545455,3.575757576,440.5,2,3,1,1
STAT,3,1116,2,5,556.1337209,1.976744186,3.168604651,534,2,3,1,1
STAT,4,1640,4,5,838.5153061,1.994897959,3.306122449,790,2,3,1,0
SUM,1,27,3,2,20.5,2,1.5,24.5,2,1.5,1,1
SUM,2,36,3,2,22.47058824,2.647058824,1.823529412,23,3,2,1,1
SUM,3,44,3,2,28.8,2.2,1.6,28,2,2,1,1
SUM,4,94,3,2,51.73913043,2.826086957,1.913043478,52,3,2,1,1
TAIL,1,64,6,4,38,2.266666667,2.266666667,47,2,2,1,1
TAIL,2,75,6,4,41,2.3,2.25,39,2,2,0,1
TAIL,3,67,6,4,39.0625,2.25,2.25,43.5,2,2,1,1
TAIL,4,81,6,4,46.6,2.6,2.48,47,2,2,0,0
TEST,1,18,0,6,15,-0.666666667,4.666666667,15.5,-1,4.5,0,1
TEST,2,56,5,5,43.2,2.4,4,49.5,2.5,4,0,0
TEST,3,23,2,4,17.66666667,0.833333333,3.333333333,20.5,0.5,3.5,0,1
TEST,4,16,0,6,13,-0.666666667,4.666666667,13.5,-1,4.5,0,1
TOUCH,1,22,2,3,14.44444444,0.777777778,2.111111111,14,1,2,1,1
TOUCH,2,30,4,2,16.36363636,1.818181818,1.363636364,16,1,1,0,1
TOUCH,3,28,5,2,14.55555556,2,1.222222222,12,1,1,0,1
TOUCH,4,28,5,2,14.55555556,2,1.222222222,12,1,1,0,1
UNEXPAND,1,38,3,3,24.85714286,2,2.285714286,33,2,2,1,0
UNEXPAND,2,38,3,3,22,1.875,2.125,26,2,2,1,0
UNEXPAND,3,51,3,3,25.84615385,2.076923077,2.384615385,20,2,2,1,0
UNEXPAND,4,53,3,3,26.21428571,2,2.285714286,19.5,2,2,1,0
UNIQ,1,131,4,2,67,2.5,1.5,67,2.5,1.5,0,0
UNIQ,2,179,7,3,140.6470588,5.470588235,2.352941176,146.5,6,2,1,0
UNIQ,3,189,7,3,146.7179487,5.666666667,2.435897436,152,6,2,1,0
UNIQ,4,184,7,3,142.9117647,5.617647059,2.352941176,148.5,6,2,1,0
WC,1,53,4,4,30,2.058823529,2.352941176,24,2,2,0,0
WC,2,51,4,4,28.23529412,2.058823529,2.352941176,22,2,2,0,0
WC,3,59,4,4,32.0952381,2.142857143,2.380952381,26,2,2,0,0
WC,4,63,4,4,34.04347826,2.173913043,2.391304348,28,2,2,0,0
WHO,1,21503,7,5,10886.73166,4.517374517,4.077220077,11067.5,5,4,0,0
WHO,2,22172,7,5,11063.17658,4.498141264,4.081784387,11092.5,5,4,1,0
WHO,3,21503,7,5,10865.75915,4.510597303,4.071290944,11066,5,4,1,0
WHO,4,831,7,5,324.328125,2.609375,3.15625,125,2,3,0,0
