,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2108,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.083333333,0.675,0.05,0.6,0.888888889,-0.00625,0.8125
77,frozenset({'trace_length_max_neg'}),frozenset({'KLEE_data'}),0.491666667,0.675,0.291666667,0.593220339,0.878844947,-0.040208333,0.798958333
514,"frozenset({'global_nesting_depth_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.141666667,0.675,0.083333333,0.588235294,0.871459695,-0.012291667,0.789285714
487,"frozenset({'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.458333333,0.675,0.258333333,0.563636364,0.835016835,-0.051041667,0.744791667
97,frozenset({'trace_length_median_neg'}),frozenset({'KLEE_data'}),0.491666667,0.675,0.275,0.559322034,0.828625235,-0.056875,0.7375
528,"frozenset({'global_nesting_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.166666667,0.675,0.091666667,0.55,0.814814815,-0.020833333,0.722222222
1227,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.05,0.545454545,0.808080808,-0.011875,0.715
2091,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.05,0.545454545,0.808080808,-0.011875,0.715
1353,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.05,0.545454545,0.808080808,-0.011875,0.715
497,"frozenset({'trace_length_max_neg', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.291666667,0.675,0.158333333,0.542857143,0.804232804,-0.038541667,0.7109375
563,"frozenset({'trace_length_median_neg', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.291666667,0.675,0.158333333,0.542857143,0.804232804,-0.038541667,0.7109375
1327,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.291666667,0.675,0.158333333,0.542857143,0.804232804,-0.038541667,0.7109375
300,"frozenset({'global_nesting_depth_max', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.108333333,0.675,0.058333333,0.538461538,0.797720798,-0.014791667,0.704166667
102,frozenset({'call_depth_median_neg'}),frozenset({'KLEE_data'}),0.125,0.675,0.066666667,0.533333333,0.790123457,-0.017708333,0.696428571
556,"frozenset({'call_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.125,0.675,0.066666667,0.533333333,0.790123457,-0.017708333,0.696428571
85,frozenset({'global_nesting_depth_max_neg'}),frozenset({'KLEE_data'}),0.2,0.675,0.1,0.5,0.740740741,-0.035,0.65
473,"frozenset({'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.291666667,0.675,0.141666667,0.485714286,0.71957672,-0.055208333,0.631944444
1290,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.291666667,0.675,0.141666667,0.485714286,0.71957672,-0.055208333,0.631944444
542,"frozenset({'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.291666667,0.675,0.141666667,0.485714286,0.71957672,-0.055208333,0.631944444
1258,"frozenset({'trace_length_max_neg', 'global_nesting_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.125,0.675,0.058333333,0.466666667,0.691358025,-0.026041667,0.609375
2131,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.125,0.675,0.058333333,0.466666667,0.691358025,-0.026041667,0.609375
1374,"frozenset({'trace_length_median_neg', 'global_nesting_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.125,0.675,0.058333333,0.466666667,0.691358025,-0.026041667,0.609375
553,"frozenset({'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.183333333,0.675,0.083333333,0.454545455,0.673400673,-0.040416667,0.595833333
453,"frozenset({'trace_length_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.058333333,0.4375,0.648148148,-0.031666667,0.577777778
523,"frozenset({'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.058333333,0.4375,0.648148148,-0.031666667,0.577777778
1248,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.058333333,0.4375,0.648148148,-0.031666667,0.577777778
1393,"frozenset({'trace_length_median_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.15,0.675,0.058333333,0.388888889,0.576131687,-0.042916667,0.531818182
1314,"frozenset({'trace_length_max_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.15,0.675,0.058333333,0.388888889,0.576131687,-0.042916667,0.531818182
2170,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.15,0.675,0.058333333,0.388888889,0.576131687,-0.042916667,0.531818182
